start_date,start_hour,start_minute,end_date,end_hour,end_minute,month,year,CATEGORY,START,STOP,MILES,PURPOSE,duration,speed,day,day_time
2016-01-01,21.0,11.0,2016-01-01,21.0,17.0,Jan,2016,Business,Fort Pierce,Fort Pierce,8.207633999999999,Meal/Entertain,6.0,82.07633999999999,Friday,Evening
2016-01-02,1.0,25.0,2016-01-02,1.0,37.0,Jan,2016,Business,Fort Pierce,Fort Pierce,8.0467,Meal/Entertain,12.0,40.23349999999999,Saturday,Night
2016-01-02,20.0,25.0,2016-01-02,20.0,38.0,Jan,2016,Business,Fort Pierce,Fort Pierce,7.724831999999999,Errand/Supplies,13.0,35.653070769230766,Saturday,Evening
2016-01-05,17.0,31.0,2016-01-05,17.0,45.0,Jan,2016,Business,Fort Pierce,Fort Pierce,7.563898,Meeting,14.0,32.41670571428571,Tuesday,Afternoon
2016-01-06,14.0,42.0,2016-01-06,15.0,49.0,Jan,2016,Business,Fort Pierce,West Palm Beach,102.51495800000001,Customer Visit,67.0,91.80444,Wednesday,Afternoon
2016-01-06,17.0,15.0,2016-01-06,17.0,19.0,Jan,2016,Business,West Palm Beach,West Palm Beach,6.9201619999999995,Meal/Entertain,4.0,103.80242999999999,Wednesday,Afternoon
2016-01-06,17.0,30.0,2016-01-06,17.0,35.0,Jan,2016,Business,West Palm Beach,Palm Beach,11.426314,Meeting,5.0,137.115768,Wednesday,Afternoon
2016-01-07,13.0,27.0,2016-01-07,13.0,33.0,Jan,2016,Business,Cary,Cary,1.2874720000000002,Meeting,6.0,12.874720000000002,Thursday,Afternoon
2016-01-10,8.0,5.0,2016-01-10,8.0,25.0,Jan,2016,Business,Cary,Morrisville,13.357522000000001,Meeting,20.0,40.07256600000001,Sunday,Morning
2016-01-10,12.0,17.0,2016-01-10,12.0,44.0,Jan,2016,Business,Jamaica,New York,26.55411,Customer Visit,27.0,59.00913333333334,Sunday,Morning
2016-01-10,15.0,8.0,2016-01-10,15.0,51.0,Jan,2016,Business,New York,Queens,17.380872,Meeting,43.0,24.252379534883723,Sunday,Afternoon
2016-01-10,18.0,18.0,2016-01-10,18.0,53.0,Jan,2016,Business,Elmhurst,New York,12.07005,Meeting,35.0,20.691514285714284,Sunday,Afternoon
2016-01-10,19.0,12.0,2016-01-10,19.0,32.0,Jan,2016,Business,Midtown,East Harlem,9.977908000000001,Meeting,20.0,29.933724000000005,Sunday,Evening
2016-01-11,8.0,55.0,2016-01-11,9.0,21.0,Jan,2016,Business,East Harlem,NoMad,10.299776000000001,Temporary Site,26.0,23.768713846153847,Monday,Morning
2016-01-11,11.0,56.0,2016-01-11,12.0,3.0,Jan,2016,Business,Flatiron District,Midtown,2.5749440000000003,Errand/Supplies,7.0,22.070948571428573,Monday,Morning
2016-01-11,13.0,32.0,2016-01-11,13.0,46.0,Jan,2016,Business,Midtown,Midtown East,2.735878,Meal/Entertain,14.0,11.725191428571428,Monday,Afternoon
2016-01-11,14.0,30.0,2016-01-11,14.0,43.0,Jan,2016,Business,Midtown East,Midtown,3.057746,Meal/Entertain,13.0,14.112673846153845,Monday,Afternoon
2016-01-12,12.0,33.0,2016-01-12,12.0,49.0,Jan,2016,Business,Midtown,Hudson Square,3.057746,Meal/Entertain,16.0,11.466547499999999,Tuesday,Morning
2016-01-12,12.0,53.0,2016-01-12,13.0,9.0,Jan,2016,Business,Hudson Square,Lower Manhattan,6.43736,Meal/Entertain,16.0,24.1401,Tuesday,Morning
2016-01-12,14.0,42.0,2016-01-12,14.0,56.0,Jan,2016,Business,Lower Manhattan,Hudson Square,2.896812,Errand/Supplies,14.0,12.414908571428573,Tuesday,Afternoon
2016-01-12,15.0,13.0,2016-01-12,15.0,28.0,Jan,2016,Business,Hudson Square,Hell's Kitchen,3.8624159999999996,Customer Visit,15.0,15.449663999999999,Tuesday,Afternoon
2016-01-12,15.0,42.0,2016-01-12,15.0,54.0,Jan,2016,Business,Hell's Kitchen,Midtown,3.21868,Errand/Supplies,12.0,16.0934,Tuesday,Afternoon
2016-01-12,16.0,2.0,2016-01-12,17.0,0.0,Jan,2016,Business,New York,Queens County,24.301033999999998,Meeting,58.0,25.13900068965517,Tuesday,Afternoon
2016-01-13,13.0,54.0,2016-01-13,14.0,7.0,Jan,2016,Business,Downtown,Gulfton,18.024607999999997,Meeting,13.0,83.19049846153844,Wednesday,Afternoon
2016-01-13,15.0,0.0,2016-01-13,15.0,28.0,Jan,2016,Business,Gulfton,Downtown,18.990212,Meeting,28.0,40.69331142857143,Wednesday,Afternoon
2016-01-14,16.0,29.0,2016-01-14,17.0,5.0,Jan,2016,Business,Houston,Houston,35.244546,Customer Visit,36.0,58.74091,Thursday,Afternoon
2016-01-14,21.0,39.0,2016-01-14,21.0,45.0,Jan,2016,Business,Eagan Park,Jamestown Court,6.276426,Errand/Supplies,6.0,62.76425999999999,Thursday,Evening
2016-01-15,0.0,41.0,2016-01-15,1.0,1.0,Jan,2016,Business,Morrisville,Cary,12.87472,Errand/Supplies,20.0,38.62416,Friday,Night
2016-01-15,11.0,43.0,2016-01-15,12.0,3.0,Jan,2016,Business,Cary,Durham,16.737136,Meal/Entertain,20.0,50.211408,Friday,Morning
2016-01-15,13.0,26.0,2016-01-15,13.0,44.0,Jan,2016,Business,Durham,Cary,16.737136,Meal/Entertain,18.0,55.79045333333333,Friday,Afternoon
